BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;24.05.2011;Индекс МосБиржи;Индекс МосБиржи;1598,82;1573,39;1603,3;1573,39;44762386887;;;2;;RUB;;3;
SNDX;IMOEX;25.05.2011;Индекс МосБиржи;Индекс МосБиржи;1614,86;1598,81;1615,25;1578,02;44683036046;;;2;;RUB;;3;
SNDX;IMOEX;26.05.2011;Индекс МосБиржи;Индекс МосБиржи;1606,21;1614,86;1625,35;1598,23;47472747069;;;2;;RUB;;3;
SNDX;IMOEX;27.05.2011;Индекс МосБиржи;Индекс МосБиржи;1638,06;1606,27;1641,27;1606,27;51566673690;;;2;;RUB;;3;
SNDX;IMOEX;30.05.2011;Индекс МосБиржи;Индекс МосБиржи;1644,99;1638,06;1647,59;1636;20198914152;;;2;;RUB;;3;
SNDX;IMOEX;31.05.2011;Индекс МосБиржи;Индекс МосБиржи;1666,3;1644,99;1675,72;1644,99;50576264084;;;2;;RUB;;3;
SNDX;IMOEX;01.06.2011;Индекс МосБиржи;Индекс МосБиржи;1650,68;1666,84;1672,84;1647,14;48150536467;;;2;;RUB;;3;
SNDX;IMOEX;02.06.2011;Индекс МосБиржи;Индекс МосБиржи;1658,39;1650,59;1658,39;1627,13;45395266934;;;2;;RUB;;3;
SNDX;IMOEX;03.06.2011;Индекс МосБиржи;Индекс МосБиржи;1633,02;1658,36;1669,04;1624,87;60772864288;;;2;;RUB;;3;
SNDX;IMOEX;06.06.2011;Индекс МосБиржи;Индекс МосБиржи;1633,49;1633,02;1640,28;1611,9;44409921727;;;2;;RUB;;3;
SNDX;IMOEX;07.06.2011;Индекс МосБиржи;Индекс МосБиржи;1662,71;1633,49;1662,73;1628,82;49397755843;;;2;;RUB;;3;
